SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
1057,coolctrl:firmware-update-error,CP800,Major,COOLCTRL firmware update failed.,Retry update. Power cycle. Escalate if persists.,,
1058,coolctrl:fan1-overcurrent,CP800,Major,Fan 1 drawing overcurrent — motor may be failing or obstructed.,Check for obstructions. Replace fan 1.,,
1059,coolctrl:fan2-overcurrent,CP800,Major,Fan 2 drawing overcurrent.,Check for obstructions. Replace fan 2.,,
1060,coolctrl:fan3-overcurrent,CP800,Major,Fan 3 drawing overcurrent.,Check for obstructions. Replace fan 3.,,
1061,coolctrl:fan4-overcurrent,CP800,Major,Fan 4 drawing overcurrent.,Check for obstructions. Replace fan 4.,,
1062,coolctrl:fan1-open-circuit-detected,CP800,Major,Fan 1 has open circuit — wiring disconnected or motor coil broken. Not powered.,Check fan wiring. Replace fan 1.,,
1063,coolctrl:fan2-open-circuit-detected,CP800,Major,Fan 2 open circuit.,Check wiring. Replace fan 2.,,
1064,coolctrl:fan3-open-circuit-detected,CP800,Major,Fan 3 open circuit.,Check wiring. Replace fan 3.,,
1065,coolctrl:fan4-open-circuit-detected,CP800,Major,Fan 4 open circuit.,Check wiring. Replace fan 4.,,
1066,coolctrl:fan1-speed-mismatch,CP800,Minor,Fan 1 RPM doesn't match commanded speed.,Check fan. Monitor. Replace if degrading.,,
1067,coolctrl:fan2-speed-mismatch,CP800,Minor,Fan 2 RPM mismatch.,Check fan. Monitor.,,
1068,coolctrl:fan3-speed-mismatch,CP800,Minor,Fan 3 RPM mismatch.,Check fan. Monitor.,,
1069,coolctrl:fan4-speed-mismatch,CP800,Minor,Fan 4 RPM mismatch.,Check fan. Monitor.,,
1070,coolctrl:pump1-overcurrent,CP800,Major,"Coolant pump 1 drawing overcurrent — motor failing, impeller jammed, or fluid blockage.",Check for blockage in coolant lines. Replace pump 1 if persists.,,
1071,coolctrl:pump2-overcurrent,CP800,Major,Coolant pump 2 drawing overcurrent.,Check for blockage. Replace pump 2 if persists.,,
1072,coolctrl:pump1-open-circuit-detected,CP800,Major,Pump 1 open circuit — not powered. Wiring disconnected or motor dead.,Check pump wiring. Replace pump 1.,,
1073,coolctrl:pump2-open-circuit-detected,CP800,Major,Pump 2 open circuit.,Check pump wiring. Replace pump 2.,,
1074,coolctrl:pump1-speed-mismatch,CP800,Minor,Pump 1 RPM doesn't match commanded speed.,Check pump. Monitor. Replace if degrading.,,
1075,coolctrl:pump2-speed-mismatch,CP800,Minor,Pump 2 RPM mismatch.,Check pump. Monitor.,,
1076,coolctrl:coolant-level-low,CP800,Critical,Coolant level critically low. Risk of pump dry-run and overheating.,Top up coolant immediately. Check for leaks. Replace pump if damaged.,,
1077,coolctrl:coolant-level-medium,CP800,Minor,Coolant at medium-low level. Not critical but trending down.,Schedule coolant top-up. Check for slow leaks.,,
1078,coolctrl:coolant-level-open,CP800,Major,Coolant level sensor is open/disconnected. Can't monitor coolant level — safety risk.,Check sensor connection. Replace sensor if failed.,,
1079,coolctrl:board-overtemp-warning,CP800,Minor,COOLCTRL board temp above warning.,Monitor. Check ventilation.,,
1080,coolctrl:board-overtemp-shutdown,CP800,Critical,COOLCTRL board exceeded critical temp — shut down.,Check ventilation. Power cycle. Replace COOLCTRL if persists.,,
1081,coolctrl:ntc-coolant-temp-0-open,CP800,Minor,NTC coolant temp sensor 0 open/disconnected. Reading unavailable.,Check sensor connection.,,
1082,coolctrl:ntc-coolant-temp-1-open,CP800,Minor,NTC coolant temp sensor 1 open.,Check sensor connection.,,
1083,coolctrl:ntc-coolant-temp-2-open,CP800,Minor,NTC coolant temp sensor 2 open.,Check sensor connection.,,
1084,coolctrl:ntc-coolant-temp-3-open,CP800,Minor,NTC coolant temp sensor 3 open.,Check sensor connection.,,
1085,coolctrl:ntc-coolant-temp-0-shorted,CP800,Minor,NTC coolant sensor 0 shorted — false high-temp readings.,Replace sensor or COOLCTRL.,,
1086,coolctrl:ntc-coolant-temp-1-shorted,CP800,Minor,NTC coolant sensor 1 shorted.,Replace sensor or COOLCTRL.,,
1087,coolctrl:ntc-coolant-temp-2-shorted,CP800,Minor,NTC coolant sensor 2 shorted.,Replace sensor or COOLCTRL.,,
1088,coolctrl:ntc-coolant-temp-3-shorted,CP800,Minor,NTC coolant sensor 3 shorted.,Replace sensor or COOLCTRL.,,
1089,coolctrl:ntc-coolant-temp-0-mismatch,CP800,Minor,NTC coolant sensor 0 reading inconsistent with expected values.,Monitor. Replace if unreliable.,,
1090,coolctrl:ntc-coolant-temp-1-mismatch,CP800,Minor,NTC coolant sensor 1 mismatch.,Monitor. Replace if unreliable.,,
1091,coolctrl:ntc-coolant-temp-2-mismatch,CP800,Minor,NTC coolant sensor 2 mismatch.,Monitor. Replace if unreliable.,,
1092,coolctrl:ntc-coolant-temp-3-mismatch,CP800,Minor,NTC coolant sensor 3 mismatch.,Monitor. Replace if unreliable.,,
1093,coolctrl:coolant-overtemp-warning,CP800,Minor,Coolant temperature above warning. Cooling system may be underperforming.,"Check fans, pump, coolant level. Check for airflow obstructions.",,
1094,coolctrl:coolant-overtemp-shutdown,CP800,Critical,Coolant temperature exceeded critical — station shutting down for thermal protection.,Check cooling system immediately. Top up coolant. Check fans and pump.,,
1095,coolctrl:ntc-ambtemp-open,CP800,Minor,Ambient temperature NTC sensor open/disconnected.,Check sensor connection.,,
1096,coolctrl:ntc-ambtemp-shorted,CP800,Minor,Ambient NTC sensor shorted — false readings.,Replace sensor or COOLCTRL.,,
1097,coolctrl:ntc-pcbtemp-open,CP800,Minor,PCB temperature NTC sensor open/disconnected.,Check sensor connection.,,
1098,coolctrl:ntc-pcbtemp-shorted,CP800,Minor,PCB NTC sensor shorted — false readings.,Replace sensor or COOLCTRL.,,
1099,coolctrl:coolant-flowsensor1-stuck-inactive,CP800,Major,Coolant flow sensor 1 stuck in inactive state. Not detecting any flow even though pump may be running.,Check sensor wiring. Check for blockage. Replace sensor if persists.,,
1100,coolctrl:coolant-flowsensor2-stuck-inactive,CP800,Major,Coolant flow sensor 2 stuck inactive.,Check sensor. Replace if persists.,,
1101,coolctrl:coolant-flowsensor1-stuck-active,CP800,Major,Coolant flow sensor 1 stuck in active state. Reporting flow even when pump is off — sensor is faulty.,Replace flow sensor 1.,,
1102,coolctrl:coolant-flowsensor2-stuck-active,CP800,Major,Coolant flow sensor 2 stuck active.,Replace flow sensor 2.,,
1103,coolctrl:fw-error-pumps-state-mismatch,CP800,Major,Firmware error — pump states don't match expected values. Software thinks pumps are in a different state than hardware reports.,Power cycle. Update firmware. Replace COOLCTRL if persists.,,
1104,coolctrl:restricted-coolant-flow,CP800,Major,Coolant flow is restricted — partial blockage in the cooling loop. Flow rate below expected threshold.,Check for kinks in coolant hoses. Check for debris in filter. Flush system if needed.,,
1105,sevb:invalid-cable-detected,"CP6000, EXPP",Critical,SEVB detected invalid or unsupported cable. EEPROM data doesn't match expected cable type.,Verify correct cable installed. Check cable EEPROM. Replace cable if wrong.,,
1106,sevb:invalid-configuration,"CP6000, EXPP",Critical,SEVB configuration is invalid — software or hardware config mismatch.,Reconfigure SEVB. Update firmware. Replace SEVB if persists.,,
1107,sevb:comms-failure,"CP6000, EXPP",Critical,SEVB lost communication with station controller (Falcon/DCC). Entire dispenser is offline.,Check Ethernet/CAN cable to SEVB. Power cycle. Replace SEVB if persists.,,
1108,sevb:lcc-comms-failure,"CP6000, EXPP",Major,SEVB lost communication with LCC (Liquid-Cooled Cable controller). Cable temp monitoring offline.,Check CAN cable between SEVB and LCC. Power cycle. Replace LCC or SEVB if persists.,,
1109,sevb:plc-failure,"CP6000, EXPP",Major,PLC (Power Line Communication) on SEVB has failed. CCS vehicle communication impossible.,Power cycle. Update firmware. Replace SEVB if persists.,,
1110,powerlink-cable:over-temp,EXPP/PL,Critical,PowerLink cable temperature exceeded critical threshold. Charging stopped.,Inspect cable. Check cooling. Replace cable if persists.,,
1111,panther-cable:over-temp,CP6000,Critical,Panther (CP6000) cable temperature exceeded critical. Charging stopped.,Inspect cable. Check cooling. Replace cable if persists.,,
1112,sevb:over-temp,"CP6000, EXPP",Critical,SEVB board itself is overheating.,Check ventilation in dispenser. Power cycle. Replace SEVB if persists.,,
1113,sevb:led-overcurrent,"CP6000, EXPP",Minor,SEVB LED indicator drawing overcurrent. LED driver or strip may be short-circuiting.,Check LED wiring. Replace LED module. Non-critical.,,
1114,sevb:veh-power-failure,"CP6000, EXPP",Critical,Vehicle power supply from SEVB has failed. SEVB can't provide pilot/communication power to vehicle connector.,Power cycle. Check SEVB power supply circuit. Replace SEVB if persists.,,
1115,powerlink-cable:detection-failure,EXPP/PL,Critical,PowerLink cable not detected by SEVB. EEPROM or physical connection failure.,Check cable seating. Check EEPROM. Replace cable if persists.,,
1116,panther-cable:detection-failure,CP6000,Critical,Panther cable not detected by SEVB.,Check cable seating. Check EEPROM. Replace cable if persists.,,
1117,powerlink-cable:temp0-open,EXPP/PL,Minor,PowerLink cable temp sensor 0 open/disconnected.,Check sensor connection.,,
1118,powerlink-cable:temp1-open,EXPP/PL,Minor,PowerLink cable temp sensor 1 open.,Check sensor connection.,,
1119,powerlink-cable:temp0-shorted,EXPP/PL,Minor,PowerLink cable temp sensor 0 shorted — false readings.,Replace cable.,,
1120,powerlink-cable:temp1-shorted,EXPP/PL,Minor,PowerLink cable temp sensor 1 shorted.,Replace cable.,,
1121,panther-cable:temp0-open,CP6000,Minor,Panther cable temp sensor 0 open.,Check sensor connection.,,
1122,panther-cable:temp1-open,CP6000,Minor,Panther cable temp sensor 1 open.,Check sensor connection.,,
1123,panther-cable:temp0-shorted,CP6000,Minor,Panther cable temp sensor 0 shorted.,Replace cable.,,
1124,panther-cable:temp1-shorted,CP6000,Minor,Panther cable temp sensor 1 shorted.,Replace cable.,,
1125,sevb:cable-cut,"CP6000, EXPP",Critical,Cable cut detected by SEVB. Physical cable damage or disconnection. Lockout fault.,Inspect cable for vandalism/damage. Replace cable. Clear lockout via installer app.,,
1126,sevb:temp-sensor-failure,"CP6000, EXPP",Major,Temperature sensor on SEVB or cable has failed completely.,Check sensors. Replace SEVB or cable if sensor is integrated.,,
1127,sevb:eeprom-failure,"CP6000, EXPP",Critical,SEVB EEPROM has failed. Cable identity and configuration data lost.,Replace SEVB or cable.,,
1128,sevb:ev-diode-shorted,"CP6000, EXPP",Critical,EV diode check failed — vehicle's diode appears shorted. Abnormal pilot voltage detected.,"Try different vehicle. If persists with all vehicles, replace SEVB.",,
1129,sevb:invalid-ampacity,"CP6000, EXPP",Critical,Cable ampacity configuration is invalid — max current rating doesn't match physical cable.,Verify cable rating. Check EEPROM. Replace cable or reconfigure.,,
1130,sevb:safety-cpu-reg-fail,"CP6000, EXPP",Critical,Safety CPU register check failed. Processor registers corrupted.,Power cycle. Replace SEVB.,,
1131,sevb:safety-nonstk-reg-fail,"CP6000, EXPP",Critical,Safety non-stack register check failed.,Power cycle. Replace SEVB.,,
1132,sevb:safety-float1-reg-fail,"CP6000, EXPP",Critical,Safety floating-point register 1 check failed.,Power cycle. Replace SEVB.,,
1133,sevb:safety-float2-reg-fail,"CP6000, EXPP",Critical,Safety floating-point register 2 check failed.,Power cycle. Replace SEVB.,,
1134,sevb:safety-primask-reg-fail,"CP6000, EXPP",Critical,Safety PRIMASK register check failed — interrupt masking corrupt.,Power cycle. Replace SEVB.,,
1135,sevb:safety-special-reg-fail,"CP6000, EXPP",Critical,Safety special register check failed.,Power cycle. Replace SEVB.,,
1136,sevb:safety-pc-reg-fail,"CP6000, EXPP",Critical,Safety program counter register failed — firmware execution integrity compromised.,Power cycle. Replace SEVB.,,
1137,sevb:safety-stack-fail,"CP6000, EXPP",Critical,Safety stack check failed — stack corruption.,Power cycle. Replace SEVB.,,
1138,sevb:safety-ram-fail,"CP6000, EXPP",Critical,Safety RAM check failed — memory corruption.,Power cycle. Replace SEVB.,,
1139,sevb:safety-nvm-fail,"CP6000, EXPP",Critical,Safety NVM check failed — stored data corrupted.,Power cycle. Replace SEVB.,,
1140,sevb:safety-clk-fail,"CP6000, EXPP",Critical,Safety clock check failed — timing integrity compromised.,Power cycle. Replace SEVB.,,
1141,sevb:safety-mpu-fault,"CP6000, EXPP",Critical,Safety MPU fault — unauthorized memory access.,Power cycle. Replace SEVB.,,
1142,sevb:safety-bad-strap,"CP6000, EXPP",Critical,Safety strap configuration invalid — hardware config pins wrong.,Check SEVB hardware. Replace SEVB.,,
1143,sevb:coolant-overtemp-shutdown,"CP6000, EXPP",Critical,Coolant temperature at SEVB/cable exceeded critical — charging stopped.,Check coolant flow. Check pump. Top up coolant. Replace cable or SEVB if persists.,,
1144,sevb:invalid-lcc-temperature,"CP6000, EXPP",Major,Temperature data from LCC is invalid — out of expected range.,Check LCC sensor connections. Replace LCC if persists.,,
1145,sevb:restricted-coolant-flow,"CP6000, EXPP",Major,Coolant flow through the cable is restricted — partial blockage.,Check for kinks in coolant hoses. Check filter. Flush system if needed.,,
1146,safetyctrl:comms-error,EXPP/PL,Critical,Safety Controller lost communication with station controller. Safety monitoring is offline. Critical safety concern.,Check CAN/Ethernet cabling. Power cycle. Replace SAFETYCTRL if persists. Station should not charge without safety controller.,,
